time_stamp,entity,new_status
1623286800.0,automation.dinnerLights,on
1623286800.0,automation.lightsOnWhenMotionDetected,on
1623286800.0,automation.cameraOffWhenAtHome,on
1623286800.0,automation.lightsOffWhenTooBright,on
1623286800.0,automation.lightsOffWhenNoMotion,on
1623286800.0,automation.cameraOnWhenUserLeave,on
1623286800.0,window,off
1623289479.489552,window,unavailable
1623289482.872012,window,off
1623289572.103207,window,unavailable
1623289585.156392,window,off
1623286800.0,controll.accessRoom1,off
1623301666.938403,controll.accessRoom1,on
1623301757.017243,controll.accessRoom1,off
1623305188.083309,controll.accessRoom1,on
1623305195.876071,controll.accessRoom1,off
1623316124.423616,controll.accessRoom1,on
1623316132.074668,controll.accessRoom1,off
1623316162.785473,controll.accessRoom1,on
1623316262.704243,controll.accessRoom1,off
1623320587.433518,controll.accessRoom1,on
1623320600.171031,controll.accessRoom1,off
1623322780.400387,controll.accessRoom1,on
1623322803.394341,controll.accessRoom1,off
1623324499.501901,controll.accessRoom1,on
1623324520.432858,controll.accessRoom1,off
1623324521.920862,controll.accessRoom1,on
1623324534.326059,controll.accessRoom1,off
1623333605.853935,controll.accessRoom1,on
1623333715.918304,controll.accessRoom1,off
1623335519.989957,controll.accessRoom1,on
1623335531.595842,controll.accessRoom1,off
1623336364.275655,controll.accessRoom1,on
1623336386.121632,controll.accessRoom1,off
1623336395.809272,controll.accessRoom1,on
1623336431.081,controll.accessRoom1,off
1623337045.344252,controll.accessRoom1,on
1623337138.527032,controll.accessRoom1,off
1623337139.645899,controll.accessRoom1,on
1623337140.10755,controll.accessRoom1,off
1623337142.1769,controll.accessRoom1,on
1623337182.49763,controll.accessRoom1,off
1623337183.961735,controll.accessRoom1,on
1623337184.25165,controll.accessRoom1,off
1623339765.442469,controll.accessRoom1,on
1623339809.410487,controll.accessRoom1,off
1623339851.101471,controll.accessRoom1,on
1623339854.905122,controll.accessRoom1,off
1623339885.022039,controll.accessRoom1,on
1623339890.090912,controll.accessRoom1,off
1623339903.987689,controll.accessRoom1,on
1623339945.115516,controll.accessRoom1,off
1623339945.940359,controll.accessRoom1,on
1623339956.955584,controll.accessRoom1,off
1623339958.016446,controll.accessRoom1,on
1623339959.692804,controll.accessRoom1,off
1623341699.902749,controll.accessRoom1,on
1623341714.486274,controll.accessRoom1,off
1623353569.450276,controll.accessRoom1,on
1623353574.720389,controll.accessRoom1,off
1623358828.54919,controll.accessRoom1,on
1623358831.736993,controll.accessRoom1,off
1623286800.0,hue.motionSensor.motion,off
1623300464.038276,hue.motionSensor.motion,on
1623300494.038258,hue.motionSensor.motion,off
1623300754.075879,hue.motionSensor.motion,on
1623300789.024074,hue.motionSensor.motion,off
1623300904.038612,hue.motionSensor.motion,on
1623300924.038904,hue.motionSensor.motion,off
1623300939.036279,hue.motionSensor.motion,on
1623300959.038618,hue.motionSensor.motion,off
1623300974.038907,hue.motionSensor.motion,on
1623300994.02564,hue.motionSensor.motion,off
1623301049.037762,hue.motionSensor.motion,on
1623301059.039885,hue.motionSensor.motion,off
1623301064.039143,hue.motionSensor.motion,on
1623301069.0389,hue.motionSensor.motion,off
1623301254.023146,hue.motionSensor.motion,on
1623301264.039539,hue.motionSensor.motion,off
1623301279.034343,hue.motionSensor.motion,on
1623301299.04733,hue.motionSensor.motion,off
1623301379.054112,hue.motionSensor.motion,on
1623301434.023809,hue.motionSensor.motion,off
1623301439.057857,hue.motionSensor.motion,on
1623301454.040032,hue.motionSensor.motion,off
1623301459.059905,hue.motionSensor.motion,on
1623301469.047889,hue.motionSensor.motion,off
1623301509.06228,hue.motionSensor.motion,on
1623301519.06149,hue.motionSensor.motion,off
1623301609.059982,hue.motionSensor.motion,on
1623301624.039237,hue.motionSensor.motion,off
1623301704.038546,hue.motionSensor.motion,on
1623301719.064057,hue.motionSensor.motion,off
1623303389.02369,hue.motionSensor.motion,on
1623303414.037726,hue.motionSensor.motion,off
1623303419.038515,hue.motionSensor.motion,on
1623303429.039894,hue.motionSensor.motion,off
1623303514.037865,hue.motionSensor.motion,on
1623303529.02533,hue.motionSensor.motion,off
1623305099.038108,hue.motionSensor.motion,on
1623305194.039591,hue.motionSensor.motion,off
1623305209.040037,hue.motionSensor.motion,on
1623305224.038744,hue.motionSensor.motion,off
1623305389.04174,hue.motionSensor.motion,on
1623305409.038673,hue.motionSensor.motion,off
1623305419.038237,hue.motionSensor.motion,on
1623305429.025902,hue.motionSensor.motion,off
1623306264.038557,hue.motionSensor.motion,on
1623306279.037868,hue.motionSensor.motion,off
1623306309.038391,hue.motionSensor.motion,on
1623306329.023987,hue.motionSensor.motion,off
1623306459.038115,hue.motionSensor.motion,on
1623306474.024659,hue.motionSensor.motion,off
